N,P,K,temperature,humidity,ph,rainfall,label,zone
38,25,28,6.2,42.6,5.46,29.4,barley,mountain
30,23,21,7.5,46.7,5.49,29.8,buckwheat,mountain
17,57,28,16.1,54.8,6.89,37.8,lentil,terai
24,66,29,16.8,52.3,6.85,27.7,chickpea,terai
75,42,47,23.8,78.7,5.66,184.1,ginger,hill
51,41,59,17.3,82.4,5.32,212.4,cardamom,hill
94,77,82,20.5,65.1,6.48,68.5,tomato,hill
85,69,73,16.5,68.6,6.64,41.3,cauliflower,hill
91,42,43,26.6,80.3,6.68,222.1,rice,terai
85,55,38,25.6,81.5,6.24,185.3,rice,hill
94,42,35,28.5,84.1,6.89,247.1,rice,terai
79,52,18,24.3,64.7,6.08,88.6,maize,hill
81,45,24,25.3,67.3,6.31,113.8,maize,terai
69,52,35,15.1,56.4,6.89,31.7,wheat,terai
63,46,31,12.8,52.7,6.32,43.6,wheat,hill
45,38,26,14.7,48.7,6.64,21.5,mustard,terai
39,37,23,10.8,46.9,6.28,28.1,mustard,hill
79,64,82,13.1,61.4,5.44,58,potato,hill
77,68,91,16.2,64,6.09,37.8,potato,terai
62,57,83,7.9,55.1,5.36,35.9,potato,mountain
40,26,23,5.9,43.4,5.37,31.6,barley,mountain
29,21,24,6.5,46.9,5.36,30.3,buckwheat,mountain
20,59,34,16.2,53.5,6.66,24.9,lentil,terai
20,66,24,17.4,50.2,7.12,22.4,chickpea,terai
66,45,50,23.1,76.2,5.61,176,ginger,hill
55,43,57,17.8,80.1,5.04,204.8,cardamom,hill
93,77,80,21.3,63.9,6.24,71.2,tomato,hill
87,67,78,15.2,69.4,6.52,50.4,cauliflower,hill
93,40,44,27.1,83,6.64,225.5,rice,terai
90,60,41,24.7,78.9,6.32,189.3,rice,hill
91,42,40,28.3,83.3,6.76,244.6,rice,terai
78,49,21,25.2,63.6,6.09,93,maize,hill
82,46,19,26.8,66.7,6.45,105.4,maize,terai
69,55,37,15,56.1,6.91,33.5,wheat,terai
59,46,31,12.7,52,6.49,35.8,wheat,hill
45,40,27,14.6,50.4,6.39,26.5,mustard,terai
41,39,23,12,48.9,6.36,36,mustard,hill
76,67,82,12.1,61.5,5.48,57.8,potato,hill
78,67,90,15.9,64.9,5.83,44,potato,terai
67,55,78,7.7,53.7,5.42,31.2,potato,mountain
32,32,22,6,41.1,5.41,21.9,barley,mountain
27,26,22,7.6,43,5.24,32.5,buckwheat,mountain
17,61,30,16.7,53.8,6.75,29,lentil,terai
25,66,30,16.7,52.8,7.11,34.6,chickpea,terai
67,46,48,22.8,77.4,5.65,183,ginger,hill
53,41,56,19.1,80.2,5.11,205.5,cardamom,hill
93,78,81,20,65.3,6.42,72,tomato,hill
84,69,73,16.1,66.3,6.6,41.5,cauliflower,hill
87,38,40,27.2,80.7,6.43,225.3,rice,terai
81,57,43,23.9,82.5,6.2,183.1,rice,hill
97,42,34,28.6,84.2,6.62,235.4,rice,terai
79,46,20,24.4,65.4,6.15,100.8,maize,hill
82,46,25,25.9,69.1,6.64,117.2,maize,terai
64,52,34,14.7,56.3,6.65,29.8,wheat,terai
56,47,35,11.7,50.5,6.46,35.6,wheat,hill
44,37,25,14.4,49.1,6.58,20.9,mustard,terai
36,37,22,10.8,46.8,6.19,33.6,mustard,hill
74,64,84,13.7,63.6,5.55,56.6,potato,hill
80,72,87,16.8,65.3,5.83,46.3,potato,terai
67,58,77,9,55.9,5.41,37.6,potato,mountain
37,25,23,7.4,41.6,5.44,31.6,barley,mountain
35,27,18,7.4,44.5,5.56,24.4,buckwheat,mountain
19,63,31,15.1,54.1,6.87,32.7,lentil,terai
21,69,31,17.7,53,7.01,32.6,chickpea,terai
73,43,51,24.3,79,5.61,184,ginger,hill
52,44,56,18.3,83.6,5.35,215.5,cardamom,hill
90,76,79,21.1,63.3,6.52,63.5,tomato,hill
81,67,77,15.1,68.9,6.69,45.8,cauliflower,hill
86,39,46,26.1,81.6,6.57,226.3,rice,terai
82,57,41,25.8,79.5,6.17,188.1,rice,hill
93,44,35,28,83.8,6.98,247.5,rice,terai
77,46,19,24.9,64.6,6.19,94,maize,hill
87,45,21,25.4,68.2,6.38,110.3,maize,terai
62,51,36,15.5,54.1,6.84,39.8,wheat,terai
56,46,28,11.6,51.2,6.52,47.5,wheat,hill
41,40,25,15.3,50.3,6.51,25.4,mustard,terai
37,39,19,12.5,46.5,6.23,34.9,mustard,hill
72,62,81,12.3,61.3,5.68,55.5,potato,hill
79,72,88,17.1,63.9,5.85,41.6,potato,terai
65,51,81,7.7,53.3,5.28,41.2,potato,mountain
34,28,22,6.5,42.7,5.47,31.1,barley,mountain
26,24,20,6.7,44,5.48,35.4,buckwheat,mountain
23,61,32,16.4,55.4,6.61,27.8,lentil,terai
23,65,26,17.1,51.7,6.82,34.1,chickpea,terai
75,43,51,23.5,79.1,6,176.9,ginger,hill
50,36,62,17.8,82.4,5.16,209.5,cardamom,hill
86,72,82,21.5,63,6.32,65,tomato,hill
82,71,73,16,67,6.61,49.6,cauliflower,hill
93,41,46,27.4,82.6,6.33,220.7,rice,terai
82,56,41,24.6,82.1,6.13,181.3,rice,hill
98,40,40,28.6,86.8,6.93,234.3,rice,terai
81,51,22,24.4,66.3,6.19,90.2,maize,hill
84,45,24,26.2,68.9,6.65,112.9,maize,terai
66,50,35,15.4,54.4,6.98,39.6,wheat,terai
57,47,34,12.9,50.8,6.52,43.3,wheat,hill
45,39,23,14.1,50.8,6.68,29.3,mustard,terai
41,40,18,10.8,47.2,6.29,36.6,mustard,hill
74,61,85,12.4,60.6,5.43,61,potato,hill
83,72,88,16.4,64.8,6.1,42.2,potato,terai
65,56,79,7.9,53.1,5.31,33.9,potato,mountain
32,25,21,6.7,40.7,5.47,25.9,barley,mountain
26,26,18,6.5,44.5,5.58,23.2,buckwheat,mountain
24,61,28,15.3,54.3,6.67,27.9,lentil,terai
26,67,28,17.5,53.7,6.84,24.1,chickpea,terai
71,44,52,23.1,79.2,5.99,186,ginger,hill
57,42,62,18.9,83.4,5.08,212.3,cardamom,hill
88,78,80,20.7,66,6.52,62.7,tomato,hill
81,72,78,16.2,69,6.6,46.4,cauliflower,hill
88,45,42,26.4,82.7,6.49,219.2,rice,terai
84,55,42,25.4,82.3,6.34,189.2,rice,hill
93,41,41,27.8,84.9,6.84,240.7,rice,terai
73,51,20,24.6,65.9,6.34,100.1,maize,hill
82,41,25,25.6,66.6,6.37,104.8,maize,terai
63,53,37,14.8,56.8,6.75,37.4,wheat,terai
60,46,31,12.1,51.1,6.25,48.8,wheat,hill
48,42,28,15.4,51.5,6.54,28.8,mustard,terai
40,41,23,12.6,47.9,6.24,33.3,mustard,hill
78,68,86,13.8,61.7,5.49,59.6,potato,hill
79,71,92,17.1,66.8,6.18,39.3,potato,terai
66,56,84,8.8,56,5.32,32.6,potato,mountain
37,31,24,6.2,43,5.68,26.4,barley,mountain
32,21,17,7.8,45.3,5.42,26.3,buckwheat,mountain
17,59,30,16.9,56.1,6.91,28,lentil,terai
18,65,28,18.1,51,6.98,29,chickpea,terai
67,43,51,22.9,79.6,5.98,182.4,ginger,hill
57,43,60,17.3,82.5,5.25,207.3,cardamom,hill
86,73,80,19.6,66.4,6.22,59.8,tomato,hill
90,72,78,15.1,69.1,6.62,48.1,cauliflower,hill
86,46,42,26.8,81.3,6.58,219.7,rice,terai
85,59,40,25.1,79.8,6.2,187.4,rice,hill
99,42,41,28.1,84.7,6.64,245.7,rice,terai
78,46,19,24.8,64.2,6.24,90.8,maize,hill
81,44,24,25.3,68,6.63,106.6,maize,terai
61,53,38,15.4,56.7,6.72,29.1,wheat,terai
63,51,29,12.2,51.2,6.25,41.7,wheat,hill
44,44,24,13.6,48.6,6.5,17.5,mustard,terai
42,38,26,11.7,46.2,6.27,31.5,mustard,hill
77,62,87,13.2,60.3,5.49,58.4,potato,hill
76,73,92,16.7,63,5.81,48.1,potato,terai
64,52,83,8.8,53.1,5.31,30.7,potato,mountain
32,28,26,6.4,42.2,5.58,22.6,barley,mountain
35,27,23,6.7,44.9,5.39,20.8,buckwheat,mountain
17,57,33,15.3,53.3,6.68,25.1,lentil,terai
17,69,29,17.9,53.2,7.09,32.3,chickpea,terai
67,42,54,22.6,77.4,5.87,182.3,ginger,hill
56,41,59,17.5,80.7,5.05,212.5,cardamom,hill
88,71,79,20.2,63.9,6.26,69.8,tomato,hill
83,72,77,16.3,68.4,6.67,38,cauliflower,hill
90,40,41,26.3,83.4,6.42,227.6,rice,terai
89,55,41,25.8,80.6,6.22,189.3,rice,hill
99,42,40,28.3,83.8,6.8,233.2,rice,terai
74,49,21,24.3,66.2,6.1,89.8,maize,hill
85,47,18,25.3,69,6.63,114.3,maize,terai
65,53,39,15.8,54.9,6.97,29.3,wheat,terai
64,48,35,13.2,51.3,6.45,43.7,wheat,hill
41,43,27,13.6,50.1,6.62,22.7,mustard,terai
35,36,24,11.9,46.4,6,28.4,mustard,hill
71,68,81,13,61.4,5.7,57.9,potato,hill
80,72,89,17.4,65.4,6.1,51.6,potato,terai
65,58,77,8.7,54.8,5.47,37,potato,mountain
35,25,23,6.9,42.5,5.56,18.2,barley,mountain
34,23,20,7.7,45.2,5.38,24.8,buckwheat,mountain
23,57,29,15.2,55.3,6.7,26.8,lentil,terai
22,65,28,17.5,53.4,7.01,31,chickpea,terai
67,48,52,22.5,77.4,5.89,177.8,ginger,hill
56,37,64,18.5,80.2,5.2,215.2,cardamom,hill
86,78,82,21.4,66.8,6.22,62.4,tomato,hill
82,66,73,15.9,68.2,6.61,43.6,cauliflower,hill
87,42,43,26.1,81.3,6.35,223.2,rice,terai
84,62,39,25.1,79.5,6.07,180.8,rice,hill
96,40,35,28.3,83.6,6.99,238.7,rice,terai
75,51,20,23.5,67.3,6.33,88.6,maize,hill
81,42,20,25.8,66.9,6.39,111.7,maize,terai
68,49,33,14.6,56.1,6.62,31.6,wheat,terai
60,47,28,13.2,53.3,6.29,43.1,wheat,hill
42,42,25,14.8,50.6,6.61,31.6,mustard,terai
45,37,21,11.9,49.8,6.28,28.4,mustard,hill
78,67,84,12.2,60.3,5.69,54.9,potato,hill
80,71,92,16.8,66.4,5.96,46.5,potato,terai
65,51,82,8.7,53.9,5.36,41.9,potato,mountain
36,25,20,5.6,40.5,5.48,19.1,barley,mountain
30,25,21,7.5,44.6,5.34,23.7,buckwheat,mountain
21,64,33,16,53.4,6.8,37.7,lentil,terai
18,64,26,16.9,53.9,6.97,31.6,chickpea,terai
65,48,52,22.7,76.5,5.61,172.7,ginger,hill
59,41,60,18.2,81.1,5.3,206.3,cardamom,hill
93,74,79,19.9,64.9,6.53,68.3,tomato,hill
86,69,78,15.4,67.7,6.55,40.8,cauliflower,hill
92,44,44,26.2,83.4,6.61,219.5,rice,terai
90,60,43,24.2,79.7,6.33,178.8,rice,hill
95,42,41,28.1,84.5,6.79,235.5,rice,terai
79,48,23,25.1,66.4,6,97.5,maize,hill
80,47,22,25.8,68.8,6.61,115.1,maize,terai
68,50,37,14.7,54.2,6.85,38.6,wheat,terai
55,51,33,11.8,51.4,6.29,37.4,wheat,hill
41,37,21,13.7,49.9,6.39,27,mustard,terai
40,40,19,11.3,49.6,6.06,30.5,mustard,hill
80,67,85,13.8,63.6,5.62,47.5,potato,hill
82,73,88,15.7,65.3,6.12,44.5,potato,terai
64,58,82,9.4,54.4,5.42,32.5,potato,mountain
40,24,25,7.5,42.1,5.6,31.6,barley,mountain
28,24,16,6.6,44.1,5.29,35.1,buckwheat,mountain
19,61,27,15.1,55.5,6.96,31.4,lentil,terai
23,61,25,18,52,7.09,30.6,chickpea,terai
73,42,50,22.9,79.7,5.85,181.8,ginger,hill
58,42,57,18.5,80.5,5.23,208.9,cardamom,hill
93,75,81,19.9,67,6.57,68.3,tomato,hill
87,69,78,15.9,69.4,6.34,40.3,cauliflower,hill
95,40,45,26.8,81.9,6.54,215.7,rice,terai
84,57,40,25.2,81.1,6.02,192.3,rice,hill
92,39,35,28.9,85.2,6.83,233.4,rice,terai
76,47,19,24.1,65.4,6.34,94.2,maize,hill
87,49,19,25.4,66.9,6.35,109.2,maize,terai
68,51,34,15.3,55.9,6.77,28.8,wheat,terai
61,47,34,13.1,53.1,6.48,40.7,wheat,hill
48,38,29,14,49.5,6.35,23.9,mustard,terai
42,42,22,12.2,48.8,6.34,33.8,mustard,hill
72,67,86,13.7,62.6,5.53,53.4,potato,hill
80,74,89,17.4,65.5,6.16,48.2,potato,terai
69,54,77,9.2,54,5.51,29.4,potato,mountain
32,25,22,5.8,43.4,5.3,18.6,barley,mountain
29,28,17,7,44.9,5.52,26.7,buckwheat,mountain
22,58,30,15.1,55.6,6.76,39.3,lentil,terai
25,62,26,16.7,50.9,7.11,24.5,chickpea,terai
67,44,50,22.5,79.6,5.73,173.5,ginger,hill
58,42,62,18.6,80.9,5.35,208.5,cardamom,hill
92,71,83,20.2,65.7,6.45,60.7,tomato,hill
82,68,78,17,67.3,6.63,44.5,cauliflower,hill
95,43,42,27.4,81.9,6.63,224,rice,terai
88,54,38,24.9,79.9,6.39,180.9,rice,hill
92,37,42,28.7,85.9,6.96,235.9,rice,terai
83,52,18,23.6,64.8,6.07,98.1,maize,hill
79,45,22,26.7,67.4,6.36,108,maize,terai
65,51,38,15.1,55.6,6.9,32,wheat,terai
60,46,31,11.9,53.5,6.36,35.6,wheat,hill
41,43,23,15.4,51.4,6.31,26,mustard,terai
39,40,26,11.4,47,6.06,26.5,mustard,hill
76,62,89,12.2,60.3,5.71,50.9,potato,hill
79,74,88,16.8,63.8,5.91,38.3,potato,terai
63,51,81,8.3,54.4,5.52,40.6,potato,mountain
36,29,25,6.8,42.4,5.33,29.3,barley,mountain
32,29,19,7,45.4,5.6,24.6,buckwheat,mountain
16,60,32,15.8,54,6.92,26.8,lentil,terai
23,63,28,18.1,51.8,7.04,32.9,chickpea,terai
72,47,54,24,79.7,5.61,178.5,ginger,hill
56,43,63,18.9,83.4,5.05,210.4,cardamom,hill
94,71,79,19.9,63.3,6.51,63.2,tomato,hill
85,73,76,16.6,69.3,6.57,41.2,cauliflower,hill
88,40,47,27.3,83.2,6.47,218.7,rice,terai
83,62,44,24.2,79.6,6.35,179.7,rice,hill
93,43,39,29.2,84,6.68,238.4,rice,terai
78,46,18,25,64.4,6.25,94.5,maize,hill
83,48,20,25.6,67.8,6.43,113,maize,terai
61,52,34,15.2,55.9,6.65,33.2,wheat,terai
64,49,30,12.5,53.9,6.28,40.9,wheat,hill
43,44,27,15.1,51.7,6.67,23.2,mustard,terai
39,36,25,12.2,47.6,6.26,32.8,mustard,hill
80,63,88,13.3,61.4,5.79,60.1,potato,hill
79,68,89,17,66.5,6.12,46.8,potato,terai
65,52,82,9.3,55,5.46,29.4,potato,mountain
39,25,25,5.8,42.6,5.63,24,barley,mountain
28,27,24,7.1,43.3,5.58,27.2,buckwheat,mountain
17,59,26,15.3,54.6,6.76,26.6,lentil,terai
23,67,27,17.6,50.1,6.95,31.3,chickpea,terai
74,45,47,24,76.5,5.92,185.2,ginger,hill
58,40,59,18.3,83.8,5.24,213.7,cardamom,hill
90,76,77,19.6,65.9,6.54,62.2,tomato,hill
80,67,78,15,68.2,6.33,49.8,cauliflower,hill
91,38,41,26.4,82.3,6.49,221.5,rice,terai
81,59,39,25.5,79,6.25,188.3,rice,hill
99,43,38,27.2,84.1,6.6,246.3,rice,terai
80,47,17,24.1,67.2,6.12,101.7,maize,hill
84,48,23,26.4,68,6.34,107.3,maize,terai
69,49,36,14.3,53.4,6.67,39.7,wheat,terai
62,44,31,11.5,51.9,6.45,49.3,wheat,hill
47,42,22,13.8,50.3,6.32,26.9,mustard,terai
40,40,19,12.7,48,6.04,23.5,mustard,hill
76,64,89,13.9,60.5,5.76,54.1,potato,hill
75,68,90,16.1,65.7,6.12,50.7,potato,terai
67,56,80,9,54.5,5.32,41,potato,mountain
39,26,27,5.9,41.9,5.67,21.9,barley,mountain
28,21,19,7.6,45.9,5.33,23.9,buckwheat,mountain
23,60,31,16.4,54.5,6.97,33.3,lentil,terai
18,64,28,18.2,52.6,6.94,34.7,chickpea,terai
67,43,46,23.4,77.4,5.68,183.7,ginger,hill
53,38,61,18.8,83.4,5.06,206.2,cardamom,hill
91,78,83,20.8,66.2,6.5,68.3,tomato,hill
86,74,72,16.3,67.6,6.35,39,cauliflower,hill
92,45,40,27.5,80.5,6.66,218.6,rice,terai
83,57,39,24.8,79.5,6.06,187,rice,hill
93,39,39,28.5,85.3,6.88,238,rice,terai
73,51,18,23.6,66.8,6.26,93.9,maize,hill
82,47,25,26.5,66.2,6.6,115.8,maize,terai
63,49,35,16.1,55.5,6.91,41.1,wheat,terai
60,47,30,12.7,53.2,6.46,45.4,wheat,hill
49,39,22,14.3,48.4,6.38,27.6,mustard,terai
35,35,25,12.4,47.1,6.16,26.9,mustard,hill
78,66,82,12.2,62.6,5.69,53.6,potato,hill
78,67,93,16.9,65.9,5.91,51.8,potato,terai
64,54,80,8.9,53.2,5.22,32.3,potato,mountain
30,30,21,6.6,41.2,5.49,31.3,barley,mountain
27,23,23,8,43.7,5.31,28.5,buckwheat,mountain
17,62,30,15.8,56.4,6.63,28.6,lentil,terai
19,63,28,16.6,52.2,7.07,24.7,chickpea,terai
74,42,52,23.5,77.4,5.74,176.3,ginger,hill
52,37,58,17.4,81.4,5.18,209.1,cardamom,hill
93,78,80,20,66.1,6.56,65.5,tomato,hill
80,71,78,15.7,68.5,6.5,47.6,cauliflower,hill
89,45,40,27.4,83.4,6.31,219.7,rice,terai
86,59,44,24.6,79.3,6.13,190.5,rice,hill
98,39,37,28,86.1,6.69,237.7,rice,terai
75,52,22,25.5,66.6,6.17,96.8,maize,hill
79,48,21,25.6,67.9,6.57,115.7,maize,terai
60,54,39,14.6,56.1,6.78,27.8,wheat,terai
59,47,33,13.4,51,6.27,36.8,wheat,hill
45,41,21,14.7,49,6.61,22.9,mustard,terai
42,35,21,11.2,49.2,6.03,29.2,mustard,hill
77,63,86,12.5,63,5.76,58.4,potato,hill
76,74,92,16.3,64.4,6.1,42.5,potato,terai
66,57,81,9.1,56,5.25,30.4,potato,mountain
37,26,21,5.9,40.4,5.53,25.1,barley,mountain
33,25,23,7.6,45.9,5.55,32.3,buckwheat,mountain
23,64,27,16.8,56.1,6.89,36.2,lentil,terai
26,63,29,17.2,50.3,6.95,21,chickpea,terai
66,42,50,23.3,78.2,5.91,179.4,ginger,hill
56,41,61,18.2,83,5.05,207.8,cardamom,hill
92,74,82,20.7,63.1,6.51,72,tomato,hill
80,67,78,16.1,66,6.65,50.5,cauliflower,hill
93,40,45,26.1,81.4,6.65,226,rice,terai
89,61,39,24.4,80.8,6.29,189.1,rice,hill
95,40,39,28.9,83.5,6.65,243.7,rice,terai
76,47,19,23.6,66.7,6.16,101.1,maize,hill
78,49,19,25.4,69.8,6.31,117,maize,terai
60,49,32,15.2,53.5,6.74,28.2,wheat,terai
63,49,30,12.7,50.2,6.32,46.2,wheat,hill
43,39,25,13.9,49.7,6.67,31.2,mustard,terai
40,34,19,11.1,47.7,6.08,30.3,mustard,hill
73,62,88,12.8,63,5.69,59.9,potato,hill
84,68,92,16.8,65.6,5.97,46,potato,terai
64,54,78,8.3,54.6,5.26,34.2,potato,mountain
39,30,26,6.4,40.4,5.69,25.4,barley,mountain
29,24,23,6.3,44.1,5.46,29.1,buckwheat,mountain
19,61,31,15,53.1,6.65,31.7,lentil,terai
21,64,25,17,53.9,6.87,22.1,chickpea,terai
68,41,53,23.9,79.6,5.96,178.1,ginger,hill
57,42,60,17.3,81.2,5.03,214.6,cardamom,hill
93,73,83,20.3,65.3,6.37,70.8,tomato,hill
85,73,73,16,69.9,6.34,52,cauliflower,hill
87,43,42,26.8,80.3,6.31,224.2,rice,terai
83,58,42,23.9,78.8,6.13,185.8,rice,hill
95,41,38,27.3,86.6,6.92,239.4,rice,terai
80,49,18,25.4,67,6.13,92.5,maize,hill
81,44,19,25.3,67,6.56,109.2,maize,terai
60,52,34,15.7,56.9,6.82,29.4,wheat,terai
59,45,31,12.7,53.6,6.55,36.7,wheat,hill
42,41,23,15.3,50,6.35,18.2,mustard,terai
38,40,25,12.1,49.3,6.19,27.5,mustard,hill
71,62,82,13.1,63.5,5.51,51.2,potato,hill
77,72,94,16.1,65.3,5.91,40.3,potato,terai
68,58,79,7.7,54.3,5.6,37.4,potato,mountain
37,31,26,6.9,41,5.46,28.5,barley,mountain
27,22,16,7.2,44.1,5.25,35.2,buckwheat,mountain
16,60,33,16.6,55.3,6.97,38.7,lentil,terai
27,64,32,16.5,50.1,6.99,32.8,chickpea,terai
75,42,47,24.2,79.5,5.9,182.5,ginger,hill
53,44,62,18.9,83.4,5.32,211.6,cardamom,hill
85,72,80,21.1,65.2,6.43,68.2,tomato,hill
86,72,77,16.5,66.1,6.43,41.2,cauliflower,hill
89,45,44,27.2,81.5,6.31,226.8,rice,terai
87,59,40,24.3,81.4,6.2,181.2,rice,hill
93,39,35,28.1,85.3,6.95,234.2,rice,terai
83,50,19,25,65,6.22,100.5,maize,hill
80,48,26,25.6,68.8,6.34,107.3,maize,terai
63,50,34,14.9,53.5,6.97,35.3,wheat,terai
63,45,28,12.8,52.5,6.26,37.6,wheat,hill
44,38,25,14.5,48.6,6.56,22.1,mustard,terai
38,40,21,12.8,48.8,6.1,36.1,mustard,hill
71,65,84,13.5,62.9,5.45,52.9,potato,hill
77,74,92,17.2,66.9,5.94,45.4,potato,terai
69,54,84,8.4,56.3,5.39,42.1,potato,mountain
31,31,26,5.7,43.6,5.58,32.5,barley,mountain
31,23,24,6.9,43.6,5.22,28.9,buckwheat,mountain
22,61,33,16.2,53.3,6.66,29.1,lentil,terai
23,64,28,17.3,53.6,7.07,24.9,chickpea,terai
68,46,53,24.2,78.8,5.62,175.7,ginger,hill
57,43,57,18.9,81.1,5.05,205.2,cardamom,hill
88,79,79,20.8,63.5,6.33,71.6,tomato,hill
83,67,73,16.9,69,6.43,41.1,cauliflower,hill
88,39,45,26.1,80.6,6.56,216.2,rice,terai
86,62,39,24.5,79.9,6.28,180.7,rice,hill
99,39,38,27.3,85.1,6.89,246.8,rice,terai
75,46,18,25.1,65.7,6.05,100.7,maize,hill
86,48,24,26.9,67.9,6.61,107,maize,terai
67,56,36,15.4,55.7,6.63,28.2,wheat,terai
61,49,34,12.4,50.2,6.53,48,wheat,hill
41,40,27,15.3,49.3,6.3,19.3,mustard,terai
43,38,19,11,48.2,6.23,26.3,mustard,hill
75,67,83,12.1,61.4,5.63,60.8,potato,hill
76,70,89,16.5,63.6,6.13,50.3,potato,terai
61,58,78,7.7,55.2,5.52,36.5,potato,mountain
32,26,22,6.5,41.8,5.52,31.4,barley,mountain
33,26,20,7.7,45.5,5.53,27,buckwheat,mountain
17,57,30,17,55.3,6.88,38.2,lentil,terai
24,62,31,16.7,52.2,7.17,27.6,chickpea,terai
75,43,51,23.9,79.3,5.76,176.2,ginger,hill
59,36,62,17.4,82.8,5.39,211,cardamom,hill
88,78,79,19.8,67,6.49,60.1,tomato,hill
88,73,76,16.3,68.3,6.34,51,cauliflower,hill
87,45,40,25.8,84.1,6.34,214.6,rice,terai
81,57,45,24.5,81.5,6.01,188,rice,hill
92,42,39,27.7,84.1,6.82,239.6,rice,terai
78,48,19,24.4,64,6.19,101.6,maize,hill
86,47,23,25.4,69.3,6.35,104.4,maize,terai
61,49,32,15.9,56.8,6.78,40.4,wheat,terai
65,52,33,12.2,52,6.56,45,wheat,hill
47,40,22,13.6,50.4,6.68,21.2,mustard,terai
44,37,19,11.7,48.2,6.2,31.6,mustard,hill
71,68,83,12.3,60.5,5.65,61.6,potato,hill
84,72,94,16.4,66,6.08,43.2,potato,terai
67,56,81,8.9,53.7,5.46,39.6,potato,mountain
32,32,25,5.9,40.8,5.4,27.2,barley,mountain
30,24,20,6.3,43.2,5.25,21.3,buckwheat,mountain
19,57,32,16.7,54.7,6.64,37.2,lentil,terai
18,64,28,17.7,52.3,6.96,23.2,chickpea,terai
70,47,47,23.7,77.8,5.78,173,ginger,hill
54,40,57,17.6,83.9,5.22,209.7,cardamom,hill
92,75,80,21.4,66.4,6.29,69.9,tomato,hill
80,66,77,16.5,69.2,6.62,46.2,cauliflower,hill
87,42,41,26.3,83.8,6.43,223.3,rice,terai
81,54,41,24.1,80,6.28,191.7,rice,hill
95,43,38,29.1,84.2,6.85,233.8,rice,terai
81,47,22,25.1,64,6.36,95.7,maize,hill
82,44,21,25.6,68.9,6.61,107.5,maize,terai
65,55,36,14.6,56.8,6.78,31.8,wheat,terai
57,50,29,11.9,51,6.53,43.6,wheat,hill
45,40,27,14.3,51.8,6.45,32.2,mustard,terai
35,36,25,12.2,49.9,6.1,34.3,mustard,hill
72,67,89,13.4,61.5,5.47,51.2,potato,hill
81,69,89,17.4,66.4,5.89,47.5,potato,terai
69,54,78,9.1,54.5,5.49,37.9,potato,mountain
33,32,25,6.6,40.2,5.53,18.9,barley,mountain
30,27,17,7,46,5.59,25.5,buckwheat,mountain
24,57,33,15.7,55.7,6.65,30.7,lentil,terai
24,65,26,17.6,50.1,7.17,24.8,chickpea,terai
66,48,52,23.7,77,5.89,182.3,ginger,hill
51,43,60,17.6,82.1,5.03,206.8,cardamom,hill
95,78,80,19.8,65,6.3,70.1,tomato,hill
84,67,75,16.8,69.8,6.63,37.7,cauliflower,hill
94,38,39,25.8,81.3,6.35,222.6,rice,terai
88,55,44,24.4,81.1,6.17,180.5,rice,hill
91,42,40,28.2,86.7,6.78,234.3,rice,terai
81,46,22,24.8,63.9,6.21,95.2,maize,hill
77,48,24,26.8,69.5,6.69,105.6,maize,terai
63,49,39,15.7,55.1,6.97,36.4,wheat,terai
55,45,28,11.7,51.2,6.42,35.3,wheat,hill
41,42,29,13.5,51.4,6.69,30,mustard,terai
40,40,23,12.4,49,6.38,25.3,mustard,hill
71,63,88,12.1,63.3,5.58,52.4,potato,hill
84,67,89,17,64.3,6.14,52.3,potato,terai
67,55,80,9.3,55.6,5.28,30.7,potato,mountain
39,29,20,5.9,43.8,5.49,23.5,barley,mountain
29,24,22,7.2,45.8,5.52,30.7,buckwheat,mountain
23,63,28,16,54.4,6.89,35.9,lentil,terai
21,63,24,18.1,52.4,6.96,28.6,chickpea,terai
70,46,54,23,79.2,5.76,177.2,ginger,hill
58,42,56,19,81.6,5.04,211.7,cardamom,hill
85,73,76,19.7,66.4,6.46,67.3,tomato,hill
82,70,78,16.5,69.1,6.63,43.9,cauliflower,hill
91,43,46,26.7,80.6,6.52,221.4,rice,terai
84,54,42,24.4,78.6,6.24,192,rice,hill
96,39,41,29,83.5,6.81,233.2,rice,terai
79,45,22,23.6,66.9,6.19,92.2,maize,hill
86,43,21,25.9,68.3,6.67,106.2,maize,terai
61,52,38,15.6,53.8,6.71,30.3,wheat,terai
56,52,31,12.3,50.8,6.29,45.7,wheat,hill
41,40,25,13.5,49.4,6.66,27,mustard,terai
43,38,21,11.6,49.5,6.1,37.1,mustard,hill
70,68,82,13.8,62.3,5.69,57.5,potato,hill
76,73,92,16.2,64.2,5.92,47.4,potato,terai
61,59,84,7.9,55,5.37,32.2,potato,mountain
35,30,22,6.8,43.1,5.48,24.5,barley,mountain
28,28,23,7.3,47,5.56,33.6,buckwheat,mountain
22,64,26,16.8,55.4,6.85,32.8,lentil,terai
27,68,29,18,51.6,6.95,26.3,chickpea,terai
65,46,49,23.9,79.8,5.64,178.3,ginger,hill
55,38,62,17.9,83.9,5.05,205.9,cardamom,hill
92,76,83,21.1,63.6,6.39,66.7,tomato,hill
88,71,78,15.7,68.7,6.32,49.3,cauliflower,hill
86,44,39,26.8,83.1,6.33,214.4,rice,terai
84,58,39,25.6,81.6,6.32,178.8,rice,hill
91,44,36,28.8,83.9,6.94,241.7,rice,terai
